AAON	35.06	17.03
AATI	15.75	4.02
ABCO	69.46	39.57
ABCW	53.5	29.85
ABII	78.95	65.5
ABIO	139.53	2.94
ABMC	6.13	1.2
ABTL	58.0	9.54
ACAD	17.94	1.21
ACAP	55.22	30.89
ACAT	29.2	8.93
ACCL	104.0	18.75
ACEL	10.07	2.5
ACET	27.15	16.25
ACFC	20.06	7.8
ACGL	80.47	21.75
ACLI	77.97	53.8
ACLS	30.0	11.88
ACMR	48.6	17.0
ACOR	35.65	21.18
ACPW	79.75	2.03
ACTG	17.92	6.03
ACTI	12.0	6.74
ACTS	12.24	1.73
ACTU	72.88	8.55
ACUR	11.31	6.81
ACWX	68.17	40.73
ACXM	45.75	18.16
ADAM	40.0	6.43
ADES	31.38	19.91
ADLR	29.32	13.08
ADP	84.31	38.88
ADPT	71.62	12.38
ADRD	105.87	26.03
ADSK	83.08	23.21
ADTN	80.5	66.0
ADUS	9.72	9.14
AEPI	68.05	46.5
AERG	14.82	2.5
AERO	10.0	2.13
AETI	11.6	2.04
AEY	9.75	6.5
AEZS	11.5	5.77
AFAM	53.85	7.37
AFCE	34.81	19.1
AFFX	327.0	11.45
AFSI	22.08	11.72
AGEN	60.0	3.19
AGNC	31.42	26.09
AHCI	762.78	4.35
AHII	15.74	13.55
AIPC	52.56	21.5
AIRM	59.5	8.48
AIXG	38.34	5.6
AKNS	16.8	8.51
ALCO	65.0	19.37
ALKS	197.0	10.6
ALLB	41.5	8.5
ALLT	15.53	3.8
ALOG	79.02	10.92
ALOY	23.95	2.91
ALSE	19.5	7.12
ALSK	17.15	11.64
ALTH	15.06	2.66
ALTR	125.12	11.88
ALUS	6.8	0.04
ALVR	53.12	2.53
ALXN	119.87	15.72
AMAB	7.75	3.01
AMAT	196.94	14.91
AMCF	6.5	5.78
AMCN	26.51	7.42
AMED	67.98	37.75
AMEN	40.0	5.23
AMFI	37.0	25.0
AMGN	166.5	38.75
AMIN	13.0	4.48
AMKR	65.31	18.19
AMMD	43.68	22.55
AMOT	19.75	2.56
AMOV	69.49	33.56
AMRI	84.88	10.87
AMSF	21.97	17.5
AMSWA	24.44	11.47
AMTC	14.13	1.33
AMTCP	18.26	12.0
AMTY	12.95	0.65
AMWD	75.85	11.86
ANCI	9.5	7.75
ANGO	31.29	14.75
ANIK	22.49	10.5
ANNB	12.7	4.13
ANSS	58.24	19.95
ANSW	28.5	10.9
ANTP	55.0	5.09
AONE	28.2	23.8
APAC	87.75	26.5
APAGF	118.39	6.5
APEI	53.24	49.25
APII	6.44	2.12
APOG	44.39	24.44
APSA	22.49	8.8
APSG	39.2	11.99
ARAY	31.09	4.98
ARBX	29.9	3.87
ARCC	20.55	14.26
ARCI	20.0	3.35
ARCW	6.92	0.17
ARIA	48.5	10.9
ARII	43.46	22.32
ARLP	96.82	22.65
AROW	36.2	27.72
ARTX	23.87	1.43
ASBC	59.25	34.21
ASBI	23.5	20.25
ASCMA	33.81	20.27
ASFI	46.5	37.25
ASGN	49.63	6.48
ASGR	43.55	18.25
ASML	150.75	28.25
ASPS	24.41	16.08
ASTC	16.0	0.93
ASTE	61.25	26.22
ASTI	28.35	8.02
ASTIZ	17.36	2.08
ASTM	9.94	0.58
ASUR	26.0	1.08
ATAC	35.0	19.29
ATAI	17.45	4.71
ATCO	15.0	2.04
ATEA	30.25	2.97
ATEC	8.8	4.25
ATHN	47.82	39.66
ATHR	37.44	13.95
ATHX	10.0	0.5
ATMI	60.75	7.25
ATRN	19.9	1.1
ATSG	9.19	6.15
ATSI	18.5	7.31
ATX	29.88	6.15
AUDC	152.0	5.29
AUTC	35.99	26.3
AVCA	21.03	0.45
AVGO	19.55	19.3
AVII	27.25	5.25
AVNR	18.14	1.0
AVTR	84.61	84.19
AWBC	26.86	17.25
AWRE	87.13	3.3
AXAS	19.5	10.12
AXFN	22.74	22.1
AZPN	85.0	40.25
BAMM	47.0	14.75
BANF	90.7	30.19
BANFP	32.33	26.5
BANR	46.71	37.29
BASI	14.5	4.5
BBBY	59.38	37.76
BBEP	37.97	8.07
BBNK	24.58	21.39
BBOX	92.25	36.21
BCBP	28.0	9.5
BCRX	37.25	1.3
BCSI	182.19	43.15
BELFB	54.31	28.12
BEXP	18.29	6.62
BFED	12.26	8.05
BFIN	18.5	16.01
BFLY	24.5	1.7
BFRM	9.0	4.35
BFSB	15.66	12.34
BGFV	29.64	19.88
BHBC	11.34	10.49
BHIP	26.5	10.3
BIDZ	22.5	4.54
BIOC	9.95	4.09
BIOS	22.95	7.47
BJCT	23.81	1.33
BJGP	13.4	2.9
BJRI	27.5	1.56
BKCC	15.99	11.14
BKMU	44.07	20.1
BKSC	29.0	15.91
BLKB	30.23	26.2
BLTI	21.39	2.41
BLUD	39.96	6.13
BMRN	41.25	20.88
BNCL	14.64	9.6
BNCN	22.95	13.8
BNHNA	36.4	1.87
BNVI	6.8	4.48
BOFL	24.5	1.3
BOLT	59.35	11.19
BOMK	27.0	25.0
BONT	57.66	4.0
BOOM	66.3	3.38
BOSC	18.62	6.0
BOSCD	18.62	2.4
BPAX	10.89	3.11
BPOP	72.62	45.25
BPOPN	29.0	25.5
BRCD	352.63	4.73
BRID	32.0	10.0
BRKL	27.3	14.4
BRKR	51.38	3.88
